mat.,status,kod,V,K1,K2,1.rok
243106335, RED ,SIT109,80,70,90,0,80.0
83216599, RED ,SIT109,90,90,95,0,92.0
243106704, IZV ,SIT109,0,0,0,0,NOOP
55451532, RED ,SIT109,0,0,0,0,NOOP
243106730, IZV ,SIT109,0,0,0,0,NOOP
55474796, IZV ,SIT013,50,0,0,0,1
243106751, IZV ,SIT109,50,0,0,0,1
177051168, RED ,SIT109,80,50,45,0,54.0
243106202, RED ,SIT109,50,15,45,0,1
177053232, RED ,SIT109,90,80,90,0,86.0
23095265, IZV ,SIT109,50,0,0,0,1
55474803, IZV ,SIT109,50,0,0,0,1
243096506, IZV ,SIT013,0,0,0,0,NOOP
243102133, RED ,SIT109,0,0,0,0,NOOP
37368, IZV ,SIT013,50,50,40,0,46.0
243106270, RED ,SIT109,90,80,65,0,76.0
18112205, IZV ,SIT013,0,0,0,0,NOOP
38712, IZV ,SIT013,50,0,0,0,1
177045340, IZV ,SIT013,65,20,15,0,1
243101568, RED ,SIT109,0,0,0,0,NOOP
38807, IZV ,SIT013,65,40,40,0,45.0
243095834, IZV ,SIT013,50,0,0,0,1
32437, IZV ,SIT013,50,0,0,0,1
23107244, IZV ,SIT109,0,0,0,0,NOOP
243095626, IZV ,SIT013,0,0,0,0,NOOP
243095946, IZV ,SIT013,50,0,0,0,1
243106954, IZV ,SIT109,50,0,0,0,1
38673, IZV ,SIT013,0,0,0,0,NOOP
23087305, IZV ,SIT109,0,0,0,0,NOOP
243096595, IZV ,SIT013,65,0,0,0,1
36771, IZV ,SIT013,75,0,0,0,1
23111959, IZV ,SIT109,90,78,75,0,79.2
243106265, RED ,SIT109,0,20,0,0,NOOP
243106111, RED ,SIT109,50,0,0,0,1
177050300, RED ,SIT109,60,40,0,0,1
243099737, RED ,SIT109,50,0,0,0,1
243096179, IZV ,SIT013,50,0,0,0,1
171247629, IZV ,SIT109,0,0,0,0,NOOP
177051334, RED ,SIT109,0,0,0,0,NOOP
243106660, IZV ,SIT109,60,30,55,0,1
243100581, RED ,SIT109,50,0,0,0,1
243107402, RED ,SIT109,0,0,0,0,NOOP
243106793, IZV ,SIT109,0,0,0,0,NOOP
23115302, RED ,SIT109,60,58,0,0,1
23122613, RED ,SIT109,100,75,100,0,90.0
33667, IZV ,SIT013,0,0,0,0,NOOP
243106725, IZV ,SIT109,0,0,0,0,NOOP
