,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
1,Afghanistan,28.15,28.05,27.94,27.84,27.74,27.64,27.53,27.43,27.33,27.23,27.12,27.02,26.92,26.82,26.82,29.8,35.13,40.07,46.02,49.7,52.1
3,Albania,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,41.66,50.18,58.42,66.88,70.17,72.96,73.8,76.4
4,Algeria,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.03,28.29,30.97,33.7,32.41,45.44,50.58,56.11,68.04,72.1,75.0
7,Angola,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,29.21,33.78,39.28,44.68,47.75,51.3,55.7
9,Antigua and Barbuda,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,37.67,45.95,54.49,60.93,65.63,69.32,72.42,73.5,74.9
10,Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.18,32.88,34.0,40.46,47.0,52.94,55.26,61.99,64.41,66.08,68.92,71.66,73.5,75.3
11,Armenia,34.0,34.0,34.0,34.0,34.0,34.0,32.42,32.2,34.2,36.2,37.4,38.8,44.67,49.17,57.07,65.0,69.74,72.38,71.24,69.4,71.7
12,Aruba,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,38.56,46.83,55.11,63.42,67.76,71.14,73.26,73.65,74.47
13,Australia,34.05,34.05,34.05,34.05,34.05,34.05,34.05,37.23,42.52,47.81,53.1,58.39,62.94,65.27,67.97,70.03,70.79,72.84,76.08,78.5,81.4
14,Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.73,36.15,39.65,41.98,47.94,53.61,57.97,55.99,67.7,70.22,71.77,74.43,77.1,80.0
15,Azerbaijan,29.17,29.17,29.17,29.17,29.17,29.17,27.59,27.37,29.37,31.37,32.57,33.97,39.84,44.34,52.06,59.63,63.91,65.92,66.48,65.0,68.7
16,Bahamas,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,39.32,47.59,55.6,60.72,63.65,65.96,67.86,70.0,72.0
17,Bahrain,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,31.02,38.2,46.49,59.23,67.2,70.98,73.4,76.3
