*vertices 8497
1 "Advance Publications"
2 "A.H. Belo"
3 "America Online (AOL)"
4 "AT&T"
5 "Bertelsmann"
6 "Cablevision"
7 "CNHI"
8 "Comcast"
9 "Cox Enterprises"
10 "Disney"
11 "Dow-Jones &"
12 "E.W. Scripps"
13 "Gannett"
14 "General Electric (GE)"
15 "Hearst"
16 "Hollinger"
17 "Knight Ridder"
18 "Liberty Group Publishing"
19 "The McGraw-Hill Companies"
20 "Media General"
21 "Meredith"
22 "McClatchy"
23 "News"
24 "New York Times"
25 "Reed Elsevier"
26 "Seagram"
27 "Sinclair Broadcast Group (SBG)"
28 "Sony"
29 "Times Mirror"
30 "Time Warner"
31 "Tribune"
32 "USA Networks"
33 "Viacom"
34 "Vulcan"
35 "Washington Post"
36 "Yahoo!"
37 "The Birmingham News (Alabama)"
38 "Harrisburg Patriot-News (Pennsylvania)"
39 "The Huntsville Times (Alabama)"
40 "The Jersey Journal (Jersey City, NJ)"
41 "Mississippi Press (Pascagoula)"
42 "The Oregonian (Portland)"
43 "Plain Dealer (Cleveland)"
44 "The Star-Ledger (Newark, NJ)"
45 "Staten Island Advance (NY)"
46 "Syracuse Herald-Journal (NY)"
47 "The Herald-American (Sunday)"
48 "The Post-Standard (Syracuse, NY)"
49 "The Times-Picayune (New Orleans)"
50 "The Trenton Times ( New Jersey)"
51 "Union-News & Sunday Republican (Springfield, MA)"
52 "Sun Newspapers"
53 "Booth Newspapers of Michigan"
54 "Ann Arbor News"
55 "Bay City Times"
56 "Flint Journal"
57 "Grand Rapids Press"
58 "Jackson Citizen Patriot"
59 "Kalamazoo Gazette"
60 "Mobile Register"
61 "Muskegon Chronicle"
62 "Saginaw News"
63 "American City Business Journals"
64 "Conde Nast Publications"
65 "Allure"
66 "Architectural Digest"
67 "Bon Appetit"
68 "Bride's"
69 "Conde Nast House & Garden"
70 "Women's Sports & Fitness"
71 "Conde Nast Traveler"
72 "Details"
73 "Glamour"
74 "Gourmet"
75 "GQ"
76 "Lucky"
77 "Mademoiselle"
78 "The New Yorker"
79 "Self"
80 "Tatler"
81 "The World of Interiors"
82 "Vanity Fair"
83 "Vogue"
84 "Wired"
85 "Parade Publications"
86 "Parade"
87 "react"
88 "Fairchild Publications"
89 "W"
90 "Jane"
91 "Women's Wear Daily"
92 "Daily News Record"
93 "Footwear News"
